0,10,-249,2,43,7,-18,12,-1021,25
0,12,-248,2,43,6,-18,16,-1018,21
0,12,-249,4,44,5,-17,19,-1020,20
0,4,-245,1,45,4,-20,13,-1018,29
0,5,-250,4,44,3,-20,18,-1018,23
0,12,-246,3,45,3,-19,18,-1022,18
0,10,-248,0,45,3,-20,13,-1015,20
0,8,-246,0,45,3,-21,17,-1016,20
0,7,-244,2,43,2,-21,14,-1007,18
0,12,-246,1,40,0,-20,10,-1012,18
0,5,-243,-2,37,-2,-22,13,-1003,18
0,9,-245,-3,33,-5,-21,13,-1006,19
0,7,-243,0,30,-6,-22,9,-1006,22
0,3,-238,0,28,-9,-23,2,-1011,17
0,5,-247,5,23,-13,-23,8,-1010,16
0,8,-247,3,21,-16,-23,8,-1010,15
0,2,-247,0,17,-20,-25,2,-1012,10
0,4,-247,-1,13,-26,-24,-7,-1008,8
0,6,-244,0,10,-33,-22,-7,-1011,6
0,0,-243,1,3,-39,-22,-10,-1008,4
0,2,-245,0,-2,-46,-23,-11,-1008,4
0,1,-245,-3,-6,-53,-23,-11,-1012,5
0,0,-244,-1,-11,-61,-22,-11,-1004,6
0,3,-241,-1,-16,-67,-21,-15,-1005,8
0,1,-244,-1,-20,-74,-19,-22,-1004,7
0,0,-246,0,-24,-84,-18,-23,-1007,8
0,0,-243,0,-28,-94,-17,-31,-1014,12
0,-2,-244,0,-34,-103,-16,-33,-1016,7
0,-5,-243,1,-37,-114,-13,-30,-1014,9
0,0,-248,0,-39,-123,-11,-22,-1020,10
0,0,-248,0,-40,-131,-9,-22,-1024,14
0,-2,-249,3,-39,-139,-8,-16,-1021,18
0,0,-247,3,-39,-146,-6,-13,-1021,17
0,1,-250,3,-38,-157,-5,-22,-1022,12
0,-2,-251,4,-38,-166,-4,-29,-1019,12
0,-8,-250,0,-37,-174,1,-40,-1018,12
0,-9,-247,-1,-31,-186,4,-56,-1018,5
0,-15,-245,-2,-28,-202,10,-62,-1015,-4
0,-14,-245,-10,-29,-224,15,-81,-1013,-22
0,-19,-242,-11,-36,-248,25,-89,-1001,-40
0,-19,-239,-16,-51,-270,37,-96,-995,-51
0,-22,-244,-17,-72,-292,50,-104,-990,-53
0,-23,-242,-15,-89,-312,64,-108,-995,-45
0,-27,-244,-13,-101,-333,77,-119,-997,-36
0,-28,-242,-5,-106,-357,88,-133,-1002,-32
0,-35,-248,-7,-104,-386,98,-146,-1008,-26
0,-40,-245,-8,-105,-425,110,-164,-1004,-29
0,-42,-241,-12,-108,-466,125,-187,-1000,-38
0,-44,-241,-12,-116,-503,138,-192,-1001,-44
0,-43,-244,-14,-124,-537,148,-201,-993,-45
0,-41,-240,-12,-132,-562,159,-189,-987,-43
0,-39,-237,-6,-140,-579,170,-181,-981,-28
0,-42,-236,-3,-150,-595,176,-176,-980,-2
0,-41,-236,6,-164,-609,184,-171,-981,16
0,-33,-241,4,-180,-627,192,-154,-987,28
